timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1719568252434394661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20408,88.4146,93.9667,60.3019
1719568252435289236,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.5,1729.24,,,,,,,,,,,
1719568252435310149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642141,0.607571,0.38659,0.690856,,,,,,,
1719568252435350606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252435545497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20408,88.4146,93.9667,60.3019
1719568252437772777,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.503,1729.24,,,,,,,,,,,
1719568252437778441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642144,0.60757,0.386589,0.690858,,,,,,,
1719568252438175175,1719568252.0,438057807.0,,,,,,,,0.0003060201536,-0.0024398933363301,-0.0004604620366865,0.0025017500103541,-0.0027551037712471,-0.0006140546502115,-0.0023348535374,0.003663222753928,,,,,,,,,,,,,,,,,,,,,,
1719568252438180882,1719568252.0,438018812.0,-0.0450183101567931,-0.6356124749916049,1.7787042491797678,8.638506362777625e-05,0.0002158195267673,-4.49019903471272e-05,0.9999999719716816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252438184644,1719568252.0,438064960.0,,,,,,,,,,,,,,,,0.0432631474566069,-0.2068560012640219,-0.065443913370089,0.2212329337688782,-0.002629468735027,-0.0019538572671484,-0.0017403240540369,0.0037095002172709,,,,,,,,,,,,,,
1719568252438951019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252439050631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20408,88.4146,93.9667,60.3019
1719568252441918193,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.501,1729.24,,,,,,,,,,,
1719568252443011945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252443019725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642151,0.60757,0.386589,0.690857,,,,,,,
1719568252443205231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5447,-28.7337,-8.20387,88.4149,93.9666,60.3017
1719568252446112308,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.5,1729.24,,,,,,,,,,,
1719568252446174861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642164,0.60757,0.386588,0.690857,,,,,,,
1719568252446248195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252446490555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5447,-28.7339,-8.20387,88.4149,93.9665,60.3016
1719568252447450512,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.5,1729.24,,,,,,,,,,,
1719568252448095443,1719568252.0,448006154.0,,,,,,,,-3.536083868715956e-05,0.0002127538467666,2.1436651866935108e-05,0.0002167351339075,0.0018884989470587,-0.0002404185888948,0.0001107518397058,0.0019069597114061,,,,,,,,,,,,,,,,,,,,,,
1719568252448103594,1719568252.0,447991623.0,-0.0450186048304488,-0.6356107020428818,1.778704427818533,9.425375440409492e-05,0.0002148181758543,-4.443873959519057e-05,0.9999999714972894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252448109958,1719568252.0,448011582.0,,,,,,,,,,,,,,,,-0.0409657190744705,0.3183176619716121,0.0578278426264233,0.3261109986571878,0.0046436000959529,0.000373618960352,0.0024456129688721,0.0052615240921413,,,,,,,,,,,,,,
1719568252450519055,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.5,1729.24,,,,,,,,,,,
1719568252450564302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642164,0.60757,0.386588,0.690857,,,,,,,
1719568252450611394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252452104564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5447,-28.7339,-8.20387,88.4149,93.9665,60.3016
