Objects
300
,,Global Angle abb4400_tcp:abb4400_tcp,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
194,0,0.725436,2.037576,0.029287,42.222763,-1034.824097,2034.253784
195,0,0.725410,2.037564,0.029305,42.221329,-1034.824707,2034.252441
196,0,0.725422,2.037577,0.029271,42.223454,-1034.821777,2034.253784
197,0,0.725408,2.037544,0.029227,42.219090,-1034.816528,2034.256470
198,0,0.725442,2.037581,0.029317,42.221943,-1034.815430,2034.255493
199,0,0.725423,2.037593,0.029280,42.221306,-1034.813232,2034.256958
200,0,0.725427,2.037567,0.029303,42.220020,-1034.812744,2034.257446
201,0,0.725434,2.037549,0.029309,42.219933,-1034.808228,2034.258545
202,0,0.725419,2.037568,0.029292,42.217865,-1034.816650,2034.254272
203,0,0.725427,2.037555,0.029295,42.222149,-1034.824097,2034.257202
204,0,0.725412,2.037549,0.029319,42.215267,-1034.816772,2034.258179
205,0,0.725443,2.037579,0.029297,42.213322,-1034.810059,2034.259521
206,0,0.725414,2.037564,0.029280,42.218430,-1034.815674,2034.260742
207,0,0.725421,2.037571,0.029310,42.217865,-1034.814819,2034.261230
208,0,0.725389,2.037575,0.029290,42.218987,-1034.812866,2034.259521
209,0,0.725408,2.037564,0.029311,42.220512,-1034.819946,2034.258545
210,0,0.725440,2.037563,0.029307,42.218605,-1034.814819,2034.256470
211,0,0.725423,2.037559,0.029288,42.222855,-1034.818848,2034.255737
212,0,0.725419,2.037566,0.029283,42.223694,-1034.820557,2034.256470
213,0,0.725434,2.037563,0.029301,42.218407,-1034.822266,2034.255493
214,0,0.725432,2.037539,0.029262,42.222393,-1034.818970,2034.255493
215,0,0.725421,2.037573,0.029293,42.223339,-1034.823730,2034.255493
216,0,0.725419,2.037553,0.029298,42.220821,-1034.823242,2034.254761
217,0,0.725427,2.037564,0.029282,42.222904,-1034.827759,2034.255737
218,0,0.725440,2.037554,0.029288,42.222488,-1034.824951,2034.252197
219,0,0.725432,2.037565,0.029313,42.221523,-1034.822876,2034.251221
220,0,0.725406,2.037570,0.029306,42.224609,-1034.829346,2034.248779
221,0,0.725420,2.037582,0.029300,42.226532,-1034.830322,2034.249756
222,0,0.725445,2.037567,0.029300,42.223957,-1034.828125,2034.250000
223,0,0.725429,2.037592,0.029315,42.226273,-1034.829712,2034.247681
224,0,0.725432,2.037579,0.029308,42.223755,-1034.829346,2034.249268
225,0,0.725414,2.037575,0.029313,42.224613,-1034.832886,2034.250000
226,0,0.725441,2.037560,0.029307,42.220078,-1034.823853,2034.252197
227,0,0.725423,2.037592,0.029296,42.221577,-1034.822876,2034.251465
228,0,0.725409,2.037550,0.029327,42.218761,-1034.817505,2034.253540
229,0,0.725424,2.037569,0.029295,42.219368,-1034.816284,2034.255005
230,0,0.725416,2.037561,0.029287,42.219749,-1034.826294,2034.255737
231,0,0.725437,2.037564,0.029324,42.217110,-1034.818359,2034.257935
232,0,0.725411,2.037546,0.029300,42.217354,-1034.819702,2034.258179
233,0,0.725417,2.037542,0.029302,42.214085,-1034.816162,2034.261230
234,0,0.725417,2.037546,0.029268,42.217468,-1034.817871,2034.262451
235,0,0.725420,2.037571,0.029293,42.214817,-1034.813965,2034.263794
236,0,0.725466,2.037535,0.029295,42.214497,-1034.806763,2034.262451
237,0,0.725405,2.037559,0.029286,42.215019,-1034.813721,2034.264282
238,0,0.725455,2.037570,0.029307,42.217972,-1034.822021,2034.260010
239,0,0.725387,2.037575,0.029306,42.217339,-1034.814087,2034.261719
240,0,0.725420,2.037565,0.029293,42.219650,-1034.820801,2034.259766
241,0,0.725424,2.037557,0.029308,42.218639,-1034.816772,2034.260986
242,0,0.725431,2.037539,0.029316,42.216213,-1034.814941,2034.259033
243,0,0.725434,2.037555,0.029314,42.215157,-1034.816040,2034.259277
244,0,0.725419,2.037554,0.029304,42.218987,-1034.821533,2034.259277
245,0,0.725434,2.037575,0.029292,42.219666,-1034.825562,2034.258789
246,0,0.725450,2.037547,0.029285,42.220463,-1034.823975,2034.255737
247,0,0.725392,2.037579,0.029288,42.220779,-1034.830078,2034.254028
248,0,0.725422,2.037576,0.029303,42.220879,-1034.833374,2034.253784
249,0,0.725422,2.037561,0.029268,42.223740,-1034.838867,2034.253540
250,0,0.725437,2.037571,0.029298,42.219521,-1034.827759,2034.256470
251,0,0.725395,2.037566,0.029274,42.219830,-1034.827393,2034.255493
252,0,0.725435,2.037555,0.029281,42.221210,-1034.828247,2034.256714
253,0,0.725476,2.037556,0.029295,42.222046,-1034.827393,2034.256470
254,0,0.725411,2.037549,0.029283,42.219612,-1034.826050,2034.258545
255,0,0.725447,2.037561,0.029307,42.224670,-1034.831909,2034.255005
256,0,0.725431,2.037562,0.029284,42.222660,-1034.829712,2034.252930
257,0,0.725441,2.037571,0.029312,42.223225,-1034.834595,2034.252197
258,0,0.725413,2.037573,0.029283,42.222721,-1034.829346,2034.251709
259,0,0.725409,2.037580,0.029309,42.220657,-1034.831787,2034.252686
260,0,0.725424,2.037574,0.029294,42.222355,-1034.832642,2034.252686
261,0,0.725415,2.037585,0.029326,42.223316,-1034.829102,2034.255493
262,0,0.725433,2.037586,0.029313,42.223335,-1034.833618,2034.252441
263,0,0.725463,2.037578,0.029317,42.221977,-1034.830566,2034.252930
264,0,0.725428,2.037575,0.029302,42.218983,-1034.827026,2034.251465
265,0,0.725448,2.037565,0.029311,42.219620,-1034.828613,2034.250977
266,0,0.725434,2.037576,0.029275,42.223259,-1034.836182,2034.251709
267,0,0.725433,2.037576,0.029307,42.224876,-1034.830078,2034.251465
268,0,0.725440,2.037574,0.029291,42.222576,-1034.833252,2034.253540
269,0,0.725437,2.037570,0.029334,42.223743,-1034.825806,2034.254028
270,0,0.725440,2.037572,0.029278,42.224323,-1034.832153,2034.255249
271,0,0.725417,2.037582,0.029320,42.223579,-1034.827515,2034.254761
272,0,0.725435,2.037563,0.029265,42.221386,-1034.825195,2034.255737
273,0,0.725430,2.037557,0.029298,42.222733,-1034.830688,2034.257935
274,0,0.725417,2.037569,0.029301,42.223434,-1034.830933,2034.254761
275,0,0.725436,2.037573,0.029289,42.219833,-1034.829956,2034.254272
276,0,0.725414,2.037570,0.029273,42.219814,-1034.835693,2034.257446
277,0,0.725407,2.037572,0.029282,42.222759,-1034.835083,2034.257935
278,0,0.725438,2.037575,0.029308,42.218655,-1034.822998,2034.258545
279,0,0.725446,2.037544,0.029299,42.219204,-1034.827637,2034.259277
280,0,0.725420,2.037569,0.029293,42.215099,-1034.818115,2034.263428
281,0,0.725428,2.037571,0.029319,42.217762,-1034.818115,2034.262451
282,0,0.725409,2.037583,0.029322,42.217232,-1034.818726,2034.258423
283,0,0.725403,2.037571,0.029330,42.221657,-1034.822144,2034.258789
284,0,0.725388,2.037569,0.029296,42.219578,-1034.820435,2034.255981
285,0,0.725421,2.037582,0.029287,42.220673,-1034.820068,2034.254761
286,0,0.725388,2.037589,0.029287,42.222309,-1034.827393,2034.251709
287,0,0.725423,2.037569,0.029332,42.225079,-1034.835449,2034.250000
288,0,0.725411,2.037580,0.029301,42.221340,-1034.832642,2034.249756
289,0,0.725449,2.037588,0.029293,42.222240,-1034.828125,2034.252686
290,0,0.725416,2.037579,0.029333,42.219238,-1034.830200,2034.253540
291,0,0.725434,2.037571,0.029314,42.221252,-1034.838013,2034.251465
292,0,0.725413,2.037589,0.029302,42.221119,-1034.833130,2034.251221
293,0,0.725397,2.037579,0.029291,42.220482,-1034.834961,2034.252686
294,0,0.725429,2.037590,0.029320,42.226437,-1034.843140,2034.250977
295,0,0.725402,2.037578,0.029314,42.225414,-1034.836426,2034.251465
296,0,0.725382,2.037599,0.029314,42.227112,-1034.837891,2034.252686
297,0,0.725398,2.037582,0.029318,42.223145,-1034.832275,2034.253540
298,0,0.725419,2.037578,0.029317,42.224445,-1034.824951,2034.253418
299,0,0.725421,2.037586,0.029278,42.224525,-1034.825073,2034.250488
300,0,0.725412,2.037564,0.029290,42.225658,-1034.828125,2034.251221
301,0,0.725414,2.037556,0.029245,42.225700,-1034.826904,2034.252441
302,0,0.725423,2.037552,0.029245,42.225368,-1034.835083,2034.248779
303,0,0.725388,2.037570,0.029300,42.225800,-1034.840210,2034.249756
304,0,0.725421,2.037573,0.029284,42.225571,-1034.844360,2034.251221
305,0,0.725449,2.037557,0.029278,42.220360,-1034.830322,2034.254517
306,0,0.725413,2.037596,0.029323,42.220833,-1034.834473,2034.252441
307,0,0.725415,2.037550,0.029281,42.218704,-1034.831299,2034.257935
308,0,0.725371,2.037563,0.029297,42.221367,-1034.829834,2034.258179
309,0,0.725409,2.037554,0.029278,42.218781,-1034.820923,2034.260742
