timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z,aq_x,aq_y,aq_z,aq_w
1720702092027922803,1720702092.0,27824169.0,,,,,,,,,,,,,,,,-0.0545716908942339,0.0500166613612296,0.1193499487106564,0.1404426791186214,0.0044869242317233,0.0014490498258114,-0.0002752261712436,0.0047231328484648,,,,,,,,,,,,,,,,,,,,,
1720702092028648357,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.001,1850.0,,,,,,,,,,,,,,,,,,
1720702092028788218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607569,0.386589,0.690858,0.0642177,,,,,,,,,,,,,,
1720702092029068787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74401,-9.98071,79.5501,52.7278,66.4785,,,,,,,
1720702092030306723,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.001,1850.0,,,,,,,,,,,,,,,,,,
1720702092030443927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607569,0.386589,0.690858,0.0642177,,,,,,,,,,,,,,
1720702092033247548,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092033340795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092034301014,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092034438242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386587,0.690859,0.0642123,,,,,,,,,,,,,,
1720702092034762871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.74401,-9.981,79.5504,52.7279,66.4788,,,,,,,
1720702092036680338,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092036837522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386587,0.690859,0.0642123,,,,,,,,,,,,,,
1720702092037120735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.74401,-9.981,79.5504,52.7279,66.4788,,,,,,,
1720702092038136166,1720702092.0,38058953.0,,,,,,,,0.5066383474111591,-0.3992955952533683,-0.0647423750388398,0.6483139382906417,0.0018124436328254,0.0002160564125416,-0.0020954217228345,0.0027789250605398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092038154334,1720702092.0,37965819.0,229.08455294190773,119.5811516433738,1906.3414745269856,0.0013530977803157,0.0027348414702345,0.0210677053717084,0.999773395104561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092038166397,1720702092.0,38076832.0,,,,,,,,,,,,,,,,0.0434177915831224,0.0401063584479222,0.1404270631355508,0.152359393129484,8.21242236987732e-05,-0.0008443086544859,-0.0035708406739559,0.0036702186053334,,,,,,,,,,,,,,,,,,,,,
1720702092038369766,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092038526162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.064215,,,,,,,,,,,,,,
1720702092038801907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74401,-9.98091,79.5501,52.7278,66.4785,,,,,,,
1720702092040656925,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092040775739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.064215,,,,,,,,,,,,,,
1720702092042547037,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.998,1850.0,,,,,,,,,,,,,,,,,,
1720702092042567533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386589,0.690856,0.0642124,,,,,,,,,,,,,,
1720702092042873975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74372,-9.98091,79.5499,52.7279,66.479,,,,,,,
